! AWR Design Environment (17603) Mon Mar 18 17:37:55 2024
! Document = 'RLC Resonator TLIN'
! nPorts: 2, nXvals: 8001

# GHz S DB R 50
!Freq DBS11 AngS11 DBS21 AngS21 DBS12 AngS12 DBS22 AngS22 
4.3 -313.01965 -165.96376 0 -77.4 0 -77.4 -313.0712 -167.4 
4.302 -313.28172 12.564 9.6432747e-16 -77.436 9.6432747e-16 -77.436 -312.92114 10.619655 
4.304 -312.70908 -159.44395 0 -77.472 -4.8216373e-16 -77.472 -313.0712 -167.472 
4.306 -303.72934 14.877944 0 -77.508 -9.6432747e-16 -77.508 -305.81821 12.528808 
4.308 -313.21076 -172.87498 9.6432747e-16 -77.544 -9.6432747e-16 -77.544 -319.0918 -167.544 
4.31 -319.0342 -1.6162435 0 -77.58 0 -77.58 -315.45098 9.4623222 
4.312 -313.20835 -172.87498 -4.8216373e-16 -77.616 -4.8216373e-16 -77.616 -313.0712 -167.616 
4.314 -313.20715 -172.87498 -4.8216373e-16 -77.652 -4.8216373e-16 -77.652 -800 0 
4.316 -313.20596 -172.87498 9.6432747e-16 -77.688 -9.6432747e-16 -77.688 -319.0918 -167.688 
4.318 -313.27211 12.276 -4.8216373e-16 -77.724 0 -77.724 -312.80791 14.036243 
4.32 -309.71904 17.003642 -4.8216373e-16 -77.76 -4.8216373e-16 -77.76 -310.86971 14.036243 
4.322 -800 0 0 -77.796 0 -77.796 -800 0 
4.324 -305.29892 15.030405 -4.8216373e-16 -77.832 -4.8216373e-16 -77.832 -305.86637 11.003541 
4.326 -309.74556 12.132 0 -77.868 -4.8216373e-16 -77.868 -311.03636 8.5307656 
4.328 -319.28681 12.096 0 -77.904 9.6432747e-16 -77.904 -315.30668 14.036243 
4.33 -313.26505 12.06 0 -77.94 9.6432747e-16 -77.94 -307.94715 14.036243 
4.332 -800 0 0 -77.976 -9.6432747e-16 -77.976 -319.0918 12.024 
4.334 -331.32452 90 0 -78.012 0 -78.012 -800 0 
4.336 -319.28216 11.952 9.6432747e-16 -78.048 0 -78.048 -318.82851 14.036243 
4.338 -313.26041 180 -4.8216373e-16 -78.084 -4.8216373e-16 -78.084 -313.0712 -168.084 
4.34 -307.22173 15.456334 1.9286549e-15 -78.12 0 -78.12 -309.36485 11.768289 
4.342 -307.08746 -169.38034 0 -78.156 0 -78.156 -307.0506 -168.156 
4.344 -309.70509 7.0443583 9.6432747e-16 -78.192 9.6432747e-16 -78.192 -308.01546 12.094757 
4.346 -309.73401 11.772 -4.8216373e-16 -78.228 9.6432747e-16 -78.228 -307.94715 14.036243 
4.348 -331.3165 -90 9.6432747e-16 -78.264 9.6432747e-16 -78.264 -319.0918 -168.264 
4.35 -309.70168 16.463642 -4.8216373e-16 -78.3 9.6432747e-16 -78.3 -306.90054 10.619655 
4.352 -313.25244 11.664 0 -78.336 0 -78.336 -312.80791 14.036243 
4.354 -313.18398 -172.87498 -9.6432747e-16 -78.372 -9.6432747e-16 -78.372 -313.0712 -168.372 
4.356 -325.29139 -90 9.6432747e-16 -78.408 9.6432747e-16 -78.408 -319.0918 -168.408 
4.358 -312.98578 -165.96376 9.6432747e-16 -78.444 -1.4464912e-15 -78.444 -319.0918 -168.444 
4.36 -307.0773 -169.38034 0 -78.48 0 -78.48 -307.0506 -168.48 
4.362 -312.67542 -159.44395 0 -78.516 -4.8216373e-16 -78.516 -313.0712 -168.516 
4.364 -319.26634 11.448 9.6432747e-16 -78.552 9.6432747e-16 -78.552 -315.30668 14.036243 
4.366 -313.1773 7.1250163 -4.8216373e-16 -78.588 0 -78.588 -319.0918 11.412 
4.368 -313.1762 -172.87498 9.6432747e-16 -78.624 9.6432747e-16 -78.624 -319.0918 -168.624 
4.37 -307.15451 -172.87498 0 -78.66 9.6432747e-16 -78.66 -307.0506 -168.66 
4.372 -309.71952 11.304 9.6432747e-16 -78.696 0 -78.696 -309.43038 9.4623222 
4.374 -306.815 -162.64598 9.6432747e-16 -78.732 9.6432747e-16 -78.732 -305.1124 -168.732 
4.376 -313.17184 -172.87498 9.6432747e-16 -78.768 -9.6432747e-16 -78.768 -319.0918 -168.768 
4.378 -312.9748 -165.96376 9.6432747e-16 -78.804 9.6432747e-16 -78.804 -309.54937 -168.804 
4.38 -325.27821 -90 9.6432747e-16 -78.84 9.6432747e-16 -78.84 -800 0 
