! AWR Design Environment (17603) Fri Jul 12 14:53:36 2024
! Document = 'RLC Resonator TLIN'
! nPorts: 2, nXvals: 10001

# GHz S DB R 50
!Freq DBS11 AngS11 DBS21 AngS21 DBS12 AngS12 DBS22 AngS22 
5.7609332 -21.736109 161.60125 -0.029280785 -108.39362 -0.029280785 -108.39362 -21.736109 161.60125 
5.7609338 -21.734328 161.60027 -0.029292832 -108.39459 -0.029292832 -108.39459 -21.734328 161.60027 
5.7609344 -21.732548 161.5993 -0.029304886 -108.39557 -0.029304886 -108.39557 -21.732548 161.5993 
5.760935 -21.730767 161.59832 -0.029316948 -108.39654 -0.029316948 -108.39654 -21.730767 161.59832 
5.7609356 -21.728986 161.59734 -0.029329018 -108.39752 -0.029329018 -108.39752 -21.728986 161.59734 
5.7609362 -21.727204 161.59636 -0.029341096 -108.3985 -0.029341096 -108.3985 -21.727204 161.59636 
5.7609368 -21.725422 161.59538 -0.029353181 -108.39948 -0.029353181 -108.39948 -21.725422 161.59538 
5.7609374 -21.723639 161.59441 -0.029365274 -108.40045 -0.029365274 -108.40045 -21.723639 161.59441 
5.760938 -21.721856 161.59343 -0.029377375 -108.40143 -0.029377375 -108.40143 -21.721856 161.59343 
5.7609386 -21.720073 161.59245 -0.029389484 -108.40241 -0.029389484 -108.40241 -21.720073 161.59245 
5.7609392 -21.718289 161.59146 -0.0294016 -108.40339 -0.0294016 -108.40339 -21.718289 161.59146 
5.7609398 -21.716504 161.59048 -0.029413724 -108.40437 -0.029413724 -108.40437 -21.716504 161.59048 
5.7609404 -21.71472 161.5895 -0.029425856 -108.40535 -0.029425856 -108.40535 -21.71472 161.5895 
5.760941 -21.712935 161.58852 -0.029437996 -108.40633 -0.029437996 -108.40633 -21.712935 161.58852 
5.7609416 -21.711149 161.58754 -0.029450143 -108.40731 -0.029450143 -108.40731 -21.711149 161.58754 
5.7609422 -21.709364 161.58655 -0.029462299 -108.40829 -0.029462299 -108.40829 -21.709364 161.58655 
5.7609428 -21.707577 161.58557 -0.029474462 -108.40928 -0.029474462 -108.40928 -21.707577 161.58557 
5.7609434 -21.705791 161.58459 -0.029486633 -108.41026 -0.029486633 -108.41026 -21.705791 161.58459 
5.760944 -21.704004 161.5836 -0.029498811 -108.41124 -0.029498811 -108.41124 -21.704004 161.5836 
